ngram_n,term,frequency,document_frequency,document_prevalence
2,does not,119,99,0.11498257839721254
2,use ai,80,74,0.0859465737514518
2,ai not,79,74,0.0859465737514518
2,using ai,63,59,0.06852497096399536
2,it's not,56,51,0.059233449477351915
2,did not,54,45,0.05226480836236934
2,not know,50,43,0.04994192799070848
2,not think,42,37,0.0429732868757259
2,chat gpt,44,35,0.04065040650406504
2,ai cannot,36,33,0.03832752613240418
2,ai tools,33,31,0.036004645760743324
2,i'm not,31,30,0.03484320557491289
2,not use,29,28,0.032520325203252036
2,think ai,29,28,0.032520325203252036
2,not ai,27,24,0.027874564459930314
2,ai tool,25,24,0.027874564459930314
2,not going,25,22,0.025551684088269456
2,not need,25,22,0.025551684088269456
2,make sure,21,21,0.024390243902439025
2,ai generated,24,19,0.022067363530778164
2,not replace,22,19,0.022067363530778164
2,ai use,20,18,0.020905923344947737
2,not want,18,17,0.019744483159117306
2,ai does,17,17,0.019744483159117306
2,not sure,17,17,0.019744483159117306
2,not understand,17,17,0.019744483159117306
2,use chatgpt,16,16,0.018583042973286876
2,chatgpt not,15,15,0.017421602787456445
2,ai help,15,14,0.016260162601626018
2,ai replace,15,14,0.016260162601626018
2,not trust,14,14,0.016260162601626018
2,used ai,14,14,0.016260162601626018
2,there's no,16,13,0.015098722415795587
2,ai it's,14,13,0.015098722415795587
2,using chatgpt,14,13,0.015098722415795587
2,ai going,13,13,0.015098722415795587
2,ai used,13,13,0.015098722415795587
2,work ai,13,13,0.015098722415795587
2,ask ai,14,12,0.013937282229965157
2,hipaa compliant,13,12,0.013937282229965157
2,it's going,13,12,0.013937282229965157
2,it's good,13,12,0.013937282229965157
2,not exist,12,12,0.013937282229965157
2,think it's,12,12,0.013937282229965157
2,work not,12,12,0.013937282229965157
2,legal research,13,11,0.012775842044134728
2,ai think,12,11,0.012775842044134728
2,ai good,11,11,0.012775842044134728
2,double check,11,11,0.012775842044134728
2,it's pretty,11,11,0.012775842044134728
2,no ai,11,11,0.012775842044134728
2,ai models,12,10,0.011614401858304297
2,10 years,11,10,0.011614401858304297
2,ai never,10,10,0.011614401858304297
2,not good,10,10,0.011614401858304297
2,not work,10,10,0.011614401858304297
2,replaced ai,10,10,0.011614401858304297
2,save time,10,10,0.011614401858304297
2,you're not,10,10,0.011614401858304297
2,not rely,10,9,0.010452961672473868
2,ai great,9,9,0.010452961672473868
2,ai make,9,9,0.010452961672473868
2,ai software,9,9,0.010452961672473868
2,i've seen,9,9,0.010452961672473868
2,no not,9,9,0.010452961672473868
2,not saying,9,9,0.010452961672473868
2,rely ai,9,9,0.010452961672473868
2,spend time,9,9,0.010452961672473868
2,years ago,9,9,0.010452961672473868
2,ai did,9,8,0.009291521486643438
2,generative ai,9,8,0.009291521486643438
2,not actually,9,8,0.009291521486643438
2,stack overflow,9,8,0.009291521486643438
2,ai ai,8,8,0.009291521486643438
2,github copilot,8,8,0.009291521486643438
2,it's ai,8,8,0.009291521486643438
2,never replace,8,8,0.009291521486643438
2,not able,8,8,0.009291521486643438
2,not doing,8,8,0.009291521486643438
2,not make,8,8,0.009291521486643438
2,not mean,8,8,0.009291521486643438
2,not replacement,8,8,0.009291521486643438
2,not using,8,8,0.009291521486643438
2,pretty good,8,8,0.009291521486643438
2,tool not,8,8,0.009291521486643438
2,social media,9,7,0.008130081300813009
2,starting point,9,7,0.008130081300813009
2,data not,8,7,0.008130081300813009
2,not perfect,8,7,0.008130081300813009
2,real world,8,7,0.008130081300813009
2,ai better,7,7,0.008130081300813009
2,ai code,7,7,0.008130081300813009
2,ai model,7,7,0.008130081300813009
2,ask questions,7,7,0.008130081300813009
